date,home_team,away_team,home_elo_before,away_elo_before,outcome,tournament
2016-06-01,Spain,Korea Republic,1498.217691498331,1490.5463158254813,home_win,Friendly
2016-06-02,England,Portugal,1542.835044510197,1518.8402002998037,home_win,Friendly
2016-06-03,United States,Colombia,1521.463468291124,1560.991143441303,away_win,Copa América
2016-06-04,Austria,Netherlands,1496.5594503674656,1527.415208041118,away_win,Friendly
2016-06-04,Brazil,Ecuador,1564.271377138251,1527.5296770267648,draw,Copa América
2016-06-04,France,Scotland,1547.499981723396,1492.4910369655006,home_win,Friendly
2016-06-05,Belgium,Norway,1583.1406630309218,1470.0265232851036,home_win,Friendly
2016-06-05,Czechia,Korea Republic,1509.895362064785,1480.7670798914014,away_win,Friendly
2016-06-05,Mexico,Uruguay,1561.7692871786824,1512.9391139765276,home_win,Copa América
2016-06-07,Canada,Uzbekistan,1463.6966539666166,1492.5815219790022,home_win,Friendly
2016-06-07,Colombia,Paraguay,1583.159106933199,1486.9624817266574,home_win,Copa América
2016-06-07,Japan,Bosnia and Herzegovina,1523.9628687353766,1495.8050685795408,away_win,Kirin Cup
2016-06-08,Brazil,Haiti,1561.637410793076,1452.441276444001,home_win,Copa América
2016-06-10,Argentina,Panama,1595.1721962385834,1475.6178536978468,home_win,Copa América
2016-06-11,United States,Paraguay,1499.295504799228,1468.7127673035895,home_win,Copa América
2016-06-12,Türkiye,Croatia,1537.1545058523209,1447.4507884764962,away_win,UEFA Euro
2016-06-12,Ecuador,Haiti,1530.1636433719398,1435.0496864824852,home_win,Copa América
2016-06-13,Spain,Czechia,1507.996927432411,1499.0589414706853,home_win,UEFA Euro
2016-06-16,United States,Ecuador,1522.1005659995458,1548.4856429293684,home_win,Copa América
2016-06-17,Czechia,Croatia,1474.7019394189488,1478.7657879264755,draw,UEFA Euro
2016-06-17,Spain,Türkiye,1532.3539294841476,1505.8395064023416,home_win,UEFA Euro
2016-06-18,Portugal,Austria,1509.5297315044893,1487.4452229263334,draw,UEFA Euro
2016-06-19,France,Switzerland,1555.9297955720692,1439.954705814847,draw,UEFA Euro
2016-06-21,Czechia,Türkiye,1474.994343490257,1482.7436773581935,away_win,UEFA Euro
2016-06-21,United States,Argentina,1548.9954834843336,1611.8937642269211,away_win,Copa América
2016-06-21,Croatia,Spain,1478.4733838551672,1555.4497585282957,home_win,UEFA Euro
2016-06-22,Sweden,Belgium,1468.5494630495673,1589.995328799023,away_win,UEFA Euro
2016-06-25,Croatia,Portugal,1508.9233948605875,1507.9427601419857,away_win,UEFA Euro
2016-06-25,United States,Colombia,1528.472574460578,1601.4088213562668,away_win,Copa América
